!CSV A.01.01
!Keysight Technologies,P9374A,MY57211795,A.19.30.04
!Date: Tuesday, October 14, 2025 13:10:05
!Source: Standard

!CW Freq: 1000000000 Hz
BEGIN CH1_DATA
"Time(s)","b1,2 (DB)","b1,2 (DEG)","a2,2 (DB)","a2,2 (DEG)","S22 (DB)","S22 (DEG)"
0.002,-97.368576,-122.44202,-0.55164689,-0.90697026,-0.44855508,-116.35167
0.004,-98.214813,-67.031944,-0.5515787,-0.89972472,-0.44877237,-116.35011
0.006,-104.51976,-65.896347,-0.55222625,-0.84906828,-0.44810936,-116.34831
0.008,-100.93686,-58.906544,-0.55213392,-0.83120733,-0.44879505,-116.35181
0.01,-94.222412,-106.10449,-0.55197167,-0.7642597,-0.44856369,-116.35159
0.012,-90.256149,-131.6474,-0.55224067,-0.83685374,-0.44847786,-116.35126
0.014,-93.528587,164.18198,-0.55211103,-0.79561073,-0.44843626,-116.34887
0.016,-95.248871,-172.27716,-0.55193144,-0.80074495,-0.44842219,-116.35062
0.018,-111.61499,-166.12776,-0.55214244,-0.76365465,-0.44883552,-116.35016
0.02,-90.631546,-133.9532,-0.55210835,-0.73502654,-0.44878328,-116.35167
0.022,-97.856895,-73.399307,-0.55189759,-0.72756869,-0.44871381,-116.35051
0.024,-93.857208,-165.10379,-0.55186677,-0.74341875,-0.44879705,-116.35278
0.026,-99.016167,-148.3447,-0.55176741,-0.70323223,-0.44867074,-116.35027
0.028,-90.603043,-147.93913,-0.55185235,-0.6476295,-0.44843653,-116.34962
0.03,-100.88603,-119.03184,-0.55209219,-0.65301794,-0.44838631,-116.35095
0.032,-99.109833,-91.124603,-0.55197406,-0.64115584,-0.44845262,-116.3498
0.034,-90.898201,-107.05032,-0.55235267,-0.66601419,-0.44852781,-116.35129
0.036,-90.604904,-96.777016,-0.55210543,-0.65201569,-0.44881025,-116.35082
0.038,-95.587563,-161.63139,-0.55168891,-0.64785635,-0.44878814,-116.35312
0.04,-101.37064,111.15212,-0.55202633,-0.63590568,-0.44806084,-116.35049
0.042,-116.37834,103.36337,-0.55173421,-0.67210829,-0.44819888,-116.35125
0.044,-95.846535,-134.72427,-0.55178738,-0.63057905,-0.44852838,-116.35161
0.046,-92.412811,-58.892933,-0.5518291,-0.5823065,-0.4487735,-116.35237
0.048,-89.248665,-118.37338,-0.55198199,-0.55884594,-0.4483203,-116.35159
0.05,-108.11425,-109.63222,-0.55184412,-0.55291408,-0.44870922,-116.35341
0.052,-100.08712,-156.09581,-0.55235147,-0.51441509,-0.44866213,-116.35113
0.054,-92.955833,-156.07983,-0.55222392,-0.56843925,-0.44856599,-116.35262
0.056,-88.523209,-112.42274,-0.5516507,-0.51347071,-0.44866845,-116.35059
0.058,-98.297318,-134.94099,-0.5511452,-0.48751095,-0.44890985,-116.35371
0.06,-91.246086,-99.288445,-0.55222595,-0.47452959,-0.44826204,-116.35208
0.062,-97.65834,-134.34671,-0.55156809,-0.50697672,-0.44877034,-116.34937
0.064,-96.613663,-129.32411,-0.55135477,-0.47978994,-0.44864836,-116.3503
0.066,-92.149681,-154.51688,-0.55145729,-0.45032269,-0.44863144,-116.35102
0.068,-94.794701,-6.7064977,-0.55145615,-0.48396081,-0.44848934,-116.3518
0.07,-89.485092,-141.22879,-0.55163747,-0.43486536,-0.44797647,-116.35207
0.072,-97.347137,-143.18137,-0.55130243,-0.39367396,-0.44896469,-116.35253
0.074,-93.474648,-139.44067,-0.55123132,-0.34051168,-0.44871035,-116.35106
0.076,-92.891403,-121.15261,-0.55140203,-0.39360493,-0.44835904,-116.35223
0.078,-99.779694,135.63547,-0.55143911,-0.33261392,-0.44867247,-116.34988
0.08,-95.550591,-118.73286,-0.55137473,-0.32263643,-0.44889638,-116.35152
0.082,-88.557228,-138.37294,-0.55124837,-0.32689038,-0.44871783,-116.3494
0.084,-92.340179,-68.836746,-0.55153579,-0.29522523,-0.44816935,-116.35092
0.086,-96.00853,-124.27807,-0.55119222,-0.32514942,-0.44871697,-116.35465
0.088,-91.921455,-116.26476,-0.5516122,-0.27601919,-0.44877151,-116.35056
0.09,-90.704102,177.56746,-0.55139029,-0.25176901,-0.44844428,-116.35232
0.092,-92.132149,-101.27935,-0.55165541,-0.22747158,-0.44846725,-116.35265
0.094,-94.925781,-141.69922,-0.55181473,-0.30673996,-0.44856915,-116.35199
0.096,-93.433128,-161.32123,-0.55178857,-0.18931778,-0.44834614,-116.35122
0.098,-91.881096,-115.99425,-0.55191433,-0.16514431,-0.44829649,-116.3527
0.1,-94.55143,-119.11176,-0.55171716,-0.15837106,-0.44873908,-116.35163
0.102,-96.698997,-96.766792,-0.55169129,-0.16010106,-0.44873935,-116.35367
0.104,-98.192162,144.32809,-0.55187058,-0.18966828,-0.44874394,-116.35303
0.106,-94.504951,-175.85683,-0.55197847,-0.19938795,-0.44836277,-116.35161
0.108,-92.63369,-83.923622,-0.55197847,-0.096665382,-0.44846123,-116.35356
0.11,-100.16941,-87.555229,-0.5519464,-0.11688049,-0.44860101,-116.35011
0.112,-91.388657,-98.432541,-0.55186266,-0.10739748,-0.44870031,-116.34821
0.114,-90.248779,-116.8399,-0.55203813,-0.1185709,-0.44855249,-116.35312
0.116,-94.280983,-65.567253,-0.55189705,-0.13870923,-0.44841471,-116.34985
0.118,-93.861389,-125.51066,-0.55174303,-0.10813786,-0.44851345,-116.35018
0.12,-93.362183,-104.97803,-0.55185235,-0.074210092,-0.44850025,-116.35047
0.122,-93.061928,-109.84858,-0.55143791,-0.035335276,-0.44925317,-116.34897
0.124,-89.424568,-139.04037,-0.55182236,-0.027147932,-0.44872501,-116.35436
0.126,-98.739777,-145.81866,-0.55152756,-0.030415567,-0.44884098,-116.35236
0.128,-95.285591,-157.19963,-0.55153519,-0.010488505,-0.44910419,-116.35144
0.13,-91.168983,-79.868568,-0.55238938,0.01171048,-0.4483358,-116.35006
0.132,-91.305618,-78.997597,-0.55160987,0.024117026,-0.44874367,-116.35469
0.134,-96.197311,-76.941956,-0.55206102,0.091013215,-0.44856915,-116.35279
0.136,-96.340149,-149.18842,-0.55181384,0.0060384031,-0.448847,-116.35107
0.138,-93.654732,-98.555809,-0.55171216,0.026929935,-0.44859958,-116.34976
0.14,-90.210747,-146.55536,-0.55168599,0.039423399,-0.4487609,-116.35358
0.142,-96.539528,-125.2681,-0.55170918,0.060400177,-0.44882318,-116.35121
0.144,-107.17656,-124.8013,-0.55179209,0.13548256,-0.44857201,-116.35246
0.146,-91.401749,-83.894608,-0.55141497,0.148596,-0.44845665,-116.35282
0.148,-92.65818,-113.95318,-0.55159867,0.10940978,-0.44830221,-116.35073
0.15,-95.364952,-100.14681,-0.55153841,0.10269486,-0.44862741,-116.34997
0.152,-96.671524,-139.36694,-0.55156195,0.13535789,-0.44871926,-116.35177
0.154,-93.100395,-131.17067,-0.55151933,0.12713563,-0.44879705,-116.35146
0.156,-92.626411,-88.279587,-0.5517571,0.18113051,-0.44872788,-116.35013
0.158,-95.127357,-68.39061,-0.55155021,0.16482927,-0.44853443,-116.35227
0.16,-93.545753,96.966415,-0.5511176,0.18962963,-0.44891474,-116.35155
0.162,-100.08009,41.54628,-0.5515787,0.20235462,-0.44843942,-116.35213
0.164,-93.932747,-126.39048,-0.5517298,0.22288744,-0.44863144,-116.35239
0.166,-89.31163,-139.74892,-0.55141413,0.2225153,-0.4485195,-116.34994
0.168,-94.052422,169.8329,-0.55134213,0.27994666,-0.44877666,-116.35095
0.17,-95.19548,-98.551392,-0.55148613,0.25597534,-0.44890296,-116.35125
0.172,-94.441994,-177.73738,-0.55116075,0.2691116,-0.44897157,-116.35303
0.174,-97.581314,-168.55377,-0.55154961,0.38308913,-0.44873965,-116.35011
0.176,-98.965088,-120.76679,-0.55134857,0.38672891,-0.448632,-116.34954
0.178,-107.52808,115.12277,-0.55128831,0.42956993,-0.44885388,-116.35082
0.18,-96.873009,-139.36823,-0.55139029,0.4194856,-0.44854417,-116.34914
0.182,-97.067802,123.42432,-0.55153638,0.43008876,-0.44881427,-116.35085
0.184,-91.230057,-106.84358,-0.55115724,0.39593968,-0.44887799,-116.35223
0.186,-97.555794,-45.289173,-0.55148375,0.49614117,-0.44847184,-116.35084
0.188,-92.556992,-179.88145,-0.55125749,0.44807914,-0.44917595,-116.35016
0.19,-101.33971,-128.39996,-0.55121017,0.46695378,-0.44916162,-116.34847
0.192,-90.776657,-125.83984,-0.55158252,0.4966794,-0.44866845,-116.35304
0.194,-95.21962,176.49257,-0.55146819,0.53202736,-0.448661,-116.35108
0.196,-97.586845,-177.53696,-0.55165452,0.5369637,-0.44841644,-116.35075
0.198,-104.0701,85.83876,-0.5517239,0.52106559,-0.44849452,-116.35095
0.2,-99.346794,-127.76094,-0.55213362,0.50377291,-0.44833866,-116.35091
0.202,-104.46216,-81.874435,-0.55197197,0.44141823,-0.44860646,-116.35049
0.204,-103.51218,-128.68008,-0.55169243,0.49343768,-0.44863832,-116.35051
0.206,-102.36299,114.01752,-0.55178738,0.53168666,-0.44843596,-116.34982
0.208,-95.322716,174.04062,-0.55190611,0.51676381,-0.44828901,-116.35271
0.21,-90.763992,-138.26068,-0.55184412,0.61602074,-0.44854504,-116.35149
0.212,-91.237206,-93.870483,-0.55215216,0.59943789,-0.44849652,-116.35011
0.214,-91.27285,-94.178871,-0.55212951,0.59334606,-0.44839865,-116.35082
0.216,-98.396202,-106.11005,-0.55197018,0.60018414,-0.4483045,-116.35046
0.218,-95.056709,-76.333496,-0.55189347,0.66694087,-0.4489021,-116.35002
0.22,-90.365013,173.92595,-0.55205959,0.65689993,-0.44839004,-116.35128
0.222,-99.105072,-36.140667,-0.55169982,0.68845522,-0.44859612,-116.35199
0.224,-95.980095,-115.57928,-0.55192524,0.65355337,-0.44846985,-116.35188
0.226,-93.578064,-94.67984,-0.55221891,0.72570771,-0.44819516,-116.35104
0.228,-97.801659,-144.04817,-0.55173123,0.70702857,-0.44885674,-116.35036
0.23,-100.17697,33.876682,-0.55159074,0.73061639,-0.44876891,-116.35213
0.232,-102.20422,-54.472092,-0.55147582,0.7565043,-0.44870061,-116.35361
0.234,-94.515198,-98.547646,-0.55200696,0.76544851,-0.44845578,-116.35226
0.236,-89.699341,-122.9611,-0.55160457,0.7584492,-0.4485614,-116.35148
0.238,-93.95639,-139.69525,-0.55159897,0.7551384,-0.44863287,-116.34964
0.24,-97.545784,-132.8614,-0.55182266,0.73742288,-0.44871956,-116.34947
0.242,-102.07186,133.63065,-0.55136031,0.71325839,-0.44875169,-116.35284
0.244,-89.820663,-149.41881,-0.55183762,0.78483355,-0.44846123,-116.34763
0.246,-91.19725,-130.27667,-0.55158371,0.84601468,-0.4485479,-116.35161
0.248,-94.267548,-157.51483,-0.55182415,0.78316146,-0.44855279,-116.35258
0.25,-103.81358,-126.97381,-0.5511452,0.85493684,-0.44873619,-116.35204
0.252,-107.67919,-148.53906,-0.5509342,0.8499099,-0.44889578,-116.3507
0.254,-92.943642,-166.89104,-0.55151021,0.83833313,-0.44870549,-116.35166
0.256,-89.120209,-138.18048,-0.55133444,0.95827609,-0.44865182,-116.35103
0.258,-93.220894,-145.15244,-0.55179387,0.92530251,-0.44832346,-116.3518
0.26,-89.660973,-118.12054,-0.55167919,0.91146219,-0.44868079,-116.35007
0.262,-102.62256,-94.55864,-0.55180651,0.89630216,-0.44907579,-116.35289
0.264,-93.126953,-109.59492,-0.55197549,0.92252487,-0.44830164,-116.35155
0.266,-93.156609,-134.78444,-0.5520196,0.9420625,-0.44815469,-116.35017
0.268,-99.425568,173.94218,-0.55168772,0.95844704,-0.44843826,-116.35051
