!CSV A.01.01
!Keysight Technologies,P9374A,MY57211795,A.19.30.04
!Date: Tuesday, October 14, 2025 13:08:08
!Source: Standard

!CW Freq: 1000000000 Hz
BEGIN CH1_DATA
"Time(s)","b1,2 (DB)","b1,2 (DEG)","a2,2 (DB)","a2,2 (DEG)","S22 (DB)","S22 (DEG)"
0.0001,-92.242119,-61.462265,-40.455238,105.3233,-0.52838266,-114.49307
0.0002,-91.173149,-126.23335,-40.482941,106.75097,-0.472442,-116.77287
0.0003,-81.587769,-119.5467,-40.493778,106.44408,-0.38673595,-116.76864
0.0004,-79.004005,44.641876,-40.479397,106.93475,-0.42039156,-117.15605
0.0005,-80.215958,102.45805,-40.314869,106.64823,-0.52145833,-116.36673
0.0006,-87.111069,-114.26492,-40.509941,106.1855,-0.4207235,-115.99809
0.0007,-90.518303,-140.22481,-40.441761,106.55837,-0.45792478,-116.65548
0.0008,-80.475082,153.59596,-40.424255,105.86821,-0.52444822,-115.71777
0.0009,-94.145988,-153.10863,-40.490238,106.82967,-0.3559705,-116.81644
0.001,-86.295006,142.77399,-40.383121,105.97423,-0.51568341,-115.85942
0.0011,-82.272713,-20.481489,-40.423252,106.63543,-0.50464624,-116.31223
0.0012,-87.27005,57.380844,-40.416801,106.37868,-0.49571353,-116.51236
0.0013,-94.579636,106.3241,-40.520065,106.17377,-0.30923551,-116.05293
0.0014,-86.288826,134.95667,-40.445419,106.31815,-0.42574063,-116.39159
0.0015,-90.636627,-68.704315,-40.467266,106.55657,-0.5013954,-116.58936
0.0016,-94.795387,72.559761,-40.382595,105.98987,-0.50684029,-115.88358
0.0017,-85.436775,-56.098026,-40.4884,106.52534,-0.38520706,-116.66434
0.0018,-80.986855,-152.73105,-40.409878,106.5613,-0.4763501,-116.28133
0.0019,-82.202866,-23.858133,-40.44141,107.50368,-0.44802898,-117.65243
0.002,-80.002296,162.13,-40.498264,106.11829,-0.3374407,-116.20478
0.0021,-95.447311,74.438637,-40.370144,105.90532,-0.5119344,-116.0425
0.0022,-97.11557,-150.55737,-40.440441,106.3287,-0.45721492,-116.64532
0.0023,-86.512115,121.00501,-40.487022,106.83028,-0.47628856,-116.98186
0.0024,-92.369423,38.474117,-40.311081,106.70182,-0.58093488,-116.95017
0.0025,-86.275108,-106.06617,-40.462151,106.15138,-0.45227221,-116.13422
0.0026,-84.349167,-28.526583,-40.412441,106.80016,-0.55148494,-117.09649
0.0027,-86.008812,113.9459,-40.446346,105.92427,-0.40192053,-115.93145
0.0028,-84.8274,-115.08865,-40.472607,106.38792,-0.39711913,-116.51067
0.0029,-88.269524,70.168175,-40.484909,106.83588,-0.41919202,-116.53477
0.003,-82.912949,96.827065,-40.444637,106.98656,-0.43937051,-117.46236
0.0031,-87.608635,-130.98227,-40.47221,105.95236,-0.40443456,-115.86179
0.0032,-88.619957,108.21973,-40.428051,106.5256,-0.43959108,-116.60117
0.0033,-89.685013,171.85777,-40.468788,105.82915,-0.47717458,-116.10755
0.0034,-92.984482,-149.10678,-40.400002,106.91187,-0.51875687,-117.06588
0.0035,-79.924744,104.27497,-40.527405,107.02197,-0.40358058,-117.04929
0.0036,-89.38784,90.880623,-40.450844,106.46569,-0.47250521,-116.22524
0.0037,-90.815842,150.42433,-40.526474,105.95289,-0.44318759,-116.42661
0.0038,-81.349464,-81.974548,-40.43845,106.2105,-0.45961303,-116.68247
0.0039,-82.275047,-82.915222,-40.433327,106.17297,-0.48326385,-115.89141
0.004,-87.831818,-43.855957,-40.322327,106.26183,-0.53420371,-115.68569
0.0041,-81.699593,107.57084,-40.391331,106.14706,-0.54612297,-116.28116
0.0042,-87.524345,74.754295,-40.429031,106.44348,-0.43461943,-116.65907
0.0043,-100.686,-55.732342,-40.38245,106.18438,-0.5327034,-115.89465
0.0044,-90.850021,-51.258511,-40.352745,106.352,-0.49174657,-116.39124
0.0045,-92.445297,173.18111,-40.505009,106.6915,-0.43692949,-116.59285
0.0046,-81.756157,117.13136,-40.428974,106.71912,-0.47878969,-116.70663
0.0047,-90.952774,-108.85287,-40.506153,106.07464,-0.38492987,-115.74623
0.0048,-82.316551,-154.03255,-40.361069,106.63571,-0.50679231,-116.74805
0.0049,-80.912903,-93.086212,-40.38929,106.18941,-0.41557372,-116.47914
0.005,-82.348564,-17.362728,-40.469036,106.94948,-0.42498523,-116.90797
0.0051,-82.54023,-34.383934,-40.436359,106.3202,-0.47306055,-116.34659
0.0052,-86.567757,-0.56315064,-40.441772,105.93774,-0.35310048,-116.10837
0.0053,-103.19951,41.034515,-40.445652,106.25794,-0.34584206,-116.40506
0.0054,-85.450386,125.61774,-40.507145,107.25122,-0.39525911,-116.88433
0.0055,-83.165802,-92.692863,-40.401463,106.88788,-0.35768616,-117.38557
0.0056,-91.840927,-114.21457,-40.40366,106.27996,-0.53641772,-116.27847
0.0057,-77.39547,-70.758751,-40.502308,106.3205,-0.43037826,-116.56693
0.0058,-79.704872,124.23508,-40.454609,105.9952,-0.37329426,-115.49499
0.0059,-86.2183,20.81414,-40.37373,107.10683,-0.49937108,-117.09534
0.006,-87.239189,-176.06013,-40.42131,106.14358,-0.46463728,-116.57584
0.0061,-89.682762,107.34734,-40.443317,106.59241,-0.49552757,-116.46102
0.0062,-89.353287,129.10144,-40.394512,106.39902,-0.48523086,-116.00306
0.0063,-93.686066,-103.3884,-40.35236,106.03415,-0.60603499,-115.92461
0.0064,-80.613647,-85.800476,-40.499096,106.29563,-0.39762974,-116.58961
0.0065,-88.145615,-11.556724,-40.473343,105.59469,-0.46828371,-115.78864
0.0066,-86.822433,175.67142,-40.451138,106.40367,-0.48109937,-116.04369
0.0067,-90.726906,178.60057,-40.374306,106.75011,-0.52779359,-116.95168
0.0068,-85.443237,144.01941,-40.442932,106.32616,-0.47839314,-116.39447
0.0069,-83.59111,34.013683,-40.397629,106.01042,-0.45839366,-115.66888
0.007,-88.602486,-73.101051,-40.375687,106.66173,-0.51948565,-117.17223
0.0071,-85.39489,30.201437,-40.557838,106.43893,-0.28900582,-116.75568
0.0072,-77.082298,81.109131,-40.449406,106.09988,-0.48390505,-115.84193
0.0073,-106.45102,74.851936,-40.391739,106.40488,-0.52859521,-117.04554
0.0074,-88.439201,-95.35746,-40.467686,106.37357,-0.41974369,-116.22645
0.0075,-83.399986,158.74265,-40.42461,106.20164,-0.46562639,-116.30354
0.0076,-84.304886,-81.100571,-40.404274,106.81703,-0.49746674,-116.40605
0.0077,-85.30085,48.70295,-40.503441,106.15417,-0.40099207,-116.14811
0.0078,-88.220772,-121.48026,-40.517662,105.94785,-0.38800326,-115.84859
0.0079,-79.693954,121.87505,-40.451302,106.41252,-0.39481628,-116.27169
0.008,-82.030518,103.38566,-40.400414,105.86932,-0.50905317,-116.17103
0.0081,-86.766914,-82.223465,-40.454586,105.97298,-0.44411334,-116.24896
0.0082,-87.383751,-63.551968,-40.36087,106.67789,-0.48824114,-117.1251
0.0083,-85.088028,-149.21007,-40.435074,106.05477,-0.52139699,-115.98034
0.0084,-95.885597,76.940613,-40.37495,106.65495,-0.60114747,-116.95511
0.0085,-86.902206,50.474464,-40.410873,106.30292,-0.51968753,-116.18063
0.0086,-83.161781,50.58157,-40.485344,106.46591,-0.42106289,-116.89109
0.0087,-81.263016,-83.301613,-40.515491,106.31637,-0.42412177,-116.50284
0.0088,-79.746857,-145.56639,-40.488613,106.68962,-0.38734832,-116.62351
0.0089,-87.802559,-102.34324,-40.461063,106.36585,-0.49456844,-116.2914
0.009,-82.533028,-109.99952,-40.496597,106.31853,-0.38921404,-116.33408
0.0091,-84.153015,-10.979421,-40.344803,106.19526,-0.59061986,-116.48563
0.0092,-84.127861,35.598953,-40.342846,106.72543,-0.58061683,-116.18813
0.0093,-80.143295,-127.91942,-40.313599,105.96468,-0.55008203,-115.13599
0.0094,-83.548264,121.88544,-40.463303,105.84918,-0.44613987,-116.0924
0.0095,-89.806793,6.7766285,-40.431538,106.42425,-0.5012908,-115.97887
0.0096,-94.964539,34.207783,-40.352001,106.66322,-0.54966247,-116.59729
0.0097,-79.630592,-79.417671,-40.343666,106.2769,-0.63277858,-116.95537
0.0098,-78.823341,28.494808,-40.440578,106.23298,-0.50174809,-115.92931
0.0099,-86.000099,-22.473047,-40.52895,106.33633,-0.41822225,-115.78687
0.01,-77.420807,-83.013321,-40.533791,106.42461,-0.33754647,-116.01945
0.0101,-81.755913,-100.89218,-40.469521,106.22417,-0.43028596,-115.92507
0.0102,-89.493462,29.450588,-40.446968,105.83718,-0.36976671,-115.56212
0.0103,-107.07331,-136.67551,-40.334873,106.025,-0.47442204,-116.6675
0.0104,-89.974022,172.03192,-40.433758,106.43885,-0.47037289,-116.60752
0.0105,-83.291336,-178.51884,-40.403545,106.99017,-0.45021182,-117.21793
0.0106,-79.633278,-112.93271,-40.443005,106.36552,-0.49905425,-116.5699
0.0107,-108.35155,46.601849,-40.45393,106.48447,-0.43333873,-116.04774
0.0108,-94.9394,-155.37343,-40.542908,106.81652,-0.29275247,-116.77935
0.0109,-84.856522,-33.138847,-40.436604,106.79992,-0.39412346,-116.80397
0.011,-79.851372,-59.298622,-40.430721,106.26994,-0.4476496,-116.03779
0.0111,-78.032364,171.65369,-40.437443,106.22838,-0.47381312,-115.91548
0.0112,-81.430176,-155.46678,-40.450516,106.59354,-0.4965699,-116.48199
0.0113,-89.388268,-161.34766,-40.352032,106.82757,-0.56824332,-116.84693
0.0114,-86.42907,122.23755,-40.441811,106.22182,-0.46178842,-116.30988
0.0115,-85.20533,-62.496231,-40.494587,106.91837,-0.31674871,-116.89227
0.0116,-80.136353,89.045235,-40.418289,107.01543,-0.54394978,-117.13032
0.0117,-97.301956,7.7600284,-40.388889,106.00063,-0.52555364,-116.30228
0.0118,-85.116066,60.350651,-40.437019,106.33083,-0.45178533,-116.34454
0.0119,-86.117569,-158.85994,-40.50351,106.49364,-0.29314986,-116.41182
0.012,-88.539551,87.090355,-40.40205,106.65671,-0.43163466,-116.5143
0.0121,-104.37702,-65.483315,-40.370594,105.83238,-0.59268326,-116.30243
0.0122,-81.227356,-11.181271,-40.38525,106.38625,-0.49518985,-116.06911
0.0123,-93.31002,-127.64576,-40.40638,106.41889,-0.47736007,-116.13438
