!CSV A.01.01
!Keysight Technologies,P9374A,MY57211795,A.19.30.04
!Date: Tuesday, October 14, 2025 13:09:33
!Source: Standard

!CW Freq: 1000000000 Hz
BEGIN CH1_DATA
Time(s),"b1,2"(DB),"b1,2"(DEG),"a2,2"(DB),"a2,2"(DEG),S22(DB),S22(DEG)
0.0001,-82.444374,17.508841,-0.55190527,93.479958,-0.44916794,-116.35567
0.0002,-95.851547,177.32425,-0.55154961,93.438065,-0.45007542,-116.36354
0.0003,-82.988472,40.982418,-0.55216449,93.471611,-0.44921556,-116.36281
0.0004,-89.307068,-85.230759,-0.55065739,93.452347,-0.45111811,-116.35999
0.0005,-83.255287,-108.26106,-0.55128098,93.591225,-0.45134988,-116.35339
0.0006,-84.291069,-167.87994,-0.55318701,93.329132,-0.44963071,-116.3598
0.0007,-105.67799,101.21394,-0.55347896,93.422562,-0.44843253,-116.35883
0.0008,-87.807098,105.29612,-0.55211604,93.307922,-0.44996518,-116.35457
0.0009,-81.012398,-94.0644,-0.55233091,93.364868,-0.450248,-116.35663
0.001,-77.133804,-50.291908,-0.55222213,93.378944,-0.44993675,-116.35372
0.0011,-93.023605,32.827637,-0.55227298,93.387314,-0.45000452,-116.35113
0.0012,-86.347038,-61.876926,-0.55258107,93.37249,-0.4502773,-116.3447
0.0013,-84.832909,-0.40537953,-0.5515396,93.341087,-0.451345,-116.34443
0.0014,-91.024635,-163.85747,-0.55213511,93.215416,-0.45014691,-116.35732
0.0015,-87.940201,-75.690781,-0.55198079,93.379181,-0.44968122,-116.3495
0.0016,-89.641052,3.0836115,-0.55180532,93.336975,-0.45016703,-116.35408
0.0017,-90.227013,-88.656242,-0.55236703,93.581711,-0.45120141,-116.34793
0.0018,-87.126068,-0.61513698,-0.55221421,93.442482,-0.45077693,-116.35043
0.0019,-87.385048,-89.687607,-0.55208486,93.271202,-0.45053458,-116.35405
0.002,-88.018051,-131.80124,-0.553873,93.352409,-0.44930112,-116.34541
0.0021,-89.233505,153.02422,-0.55205989,93.329491,-0.45046192,-116.34801
0.0022,-86.887642,-104.65284,-0.55304766,93.375946,-0.44892162,-116.3573
0.0023,-80.595604,-96.71772,-0.55118573,93.527786,-0.45102364,-116.35756
0.0024,-88.248436,-82.6577,-0.55207485,93.373062,-0.44936657,-116.35939
0.0025,-85.699715,-106.69144,-0.55195403,93.452255,-0.44953597,-116.35102
0.0026,-92.024612,174.91817,-0.55226213,93.38369,-0.45077434,-116.35761
0.0027,-102.0944,155.53258,-0.5519079,93.454964,-0.450764,-116.3617
0.0028,-86.611862,-86.133255,-0.55297589,93.298492,-0.44984517,-116.35512
0.0029,-84.69175,-103.54981,-0.55090833,93.493423,-0.45073271,-116.35521
0.003,-82.513901,-46.44305,-0.55450559,93.450218,-0.44877008,-116.35384
0.0031,-87.304871,-5.5895257,-0.55383772,93.414398,-0.44901493,-116.35892
0.0032,-85.983757,-58.33017,-0.55224538,93.463234,-0.45041683,-116.36246
0.0033,-85.111237,-91.979851,-0.55086839,93.447929,-0.45076317,-116.35764
0.0034,-82.328751,-7.4156671,-0.55421007,93.415375,-0.44831714,-116.35904
0.0035,-88.137085,7.6624436,-0.55335462,93.364937,-0.44926581,-116.3527
0.0036,-92.455597,66.300621,-0.55209899,93.386909,-0.44834986,-116.36812
0.0037,-83.40052,43.273266,-0.55276453,93.368614,-0.44875744,-116.35797
0.0038,-88.800461,-2.8881717,-0.55366397,93.501465,-0.44882947,-116.35004
0.0039,-90.167236,141.96059,-0.55295974,93.4235,-0.44943634,-116.35685
0.004,-96.32196,90.822861,-0.55143261,93.308884,-0.45039099,-116.35531
0.0041,-88.295235,-81.873749,-0.55227888,93.471626,-0.45087314,-116.3458
0.0042,-85.2211,-51.995243,-0.55232853,93.337753,-0.45063278,-116.35512
0.0043,-82.719246,149.36575,-0.55222803,93.495102,-0.44982362,-116.35372
0.0044,-79.405304,40.30941,-0.55191582,93.405228,-0.45018426,-116.36414
0.0045,-88.59684,73.243217,-0.55321199,93.291191,-0.44881856,-116.35441
0.0046,-98.458946,-44.131725,-0.5519141,93.405907,-0.45063308,-116.35813
0.0047,-92.385666,-0.57657146,-0.55270451,93.449654,-0.44970563,-116.35526
0.0048,-82.397995,95.141678,-0.55228621,93.447006,-0.44921759,-116.35065
0.0049,-84.908592,25.734602,-0.55219007,93.41507,-0.45062158,-116.36528
0.005,-81.507256,-104.73193,-0.55272686,93.335136,-0.45066753,-116.34719
0.0051,-86.833275,170.96581,-0.55311555,93.387428,-0.44982305,-116.35075
0.0052,-87.12059,-1.7769479,-0.55151343,93.252663,-0.45168278,-116.36093
0.0053,-82.468307,129.88632,-0.55241847,93.327675,-0.45081255,-116.35136
0.0054,-87.414963,87.18293,-0.55385625,93.373055,-0.4496485,-116.34766
0.0055,-86.265022,-10.550034,-0.5525558,93.332153,-0.45096821,-116.36034
0.0056,-87.511215,169.78342,-0.55231005,93.307312,-0.44846553,-116.35028
0.0057,-86.090782,-70.351936,-0.55321938,93.409309,-0.44948831,-116.35156
0.0058,-85.111588,-76.564682,-0.55130035,93.477715,-0.45208892,-116.35581
0.0059,-86.387802,4.5133433,-0.55420679,93.310654,-0.44791105,-116.35685
0.006,-85.072281,-79.089134,-0.55292946,93.460213,-0.44998154,-116.35226
0.0061,-102.68964,129.25195,-0.55302382,93.364197,-0.44916275,-116.35211
0.0062,-88.241547,-133.4503,-0.55325109,93.281174,-0.44917712,-116.35419
0.0063,-84.640823,72.272522,-0.5528186,93.297684,-0.45092511,-116.35365
0.0064,-94.9207,54.311413,-0.55255872,93.355171,-0.45072237,-116.35609
0.0065,-89.710571,73.334061,-0.55319053,93.477409,-0.44988853,-116.34741
0.0066,-82.554703,-98.75515,-0.55272186,93.435036,-0.44939989,-116.34919
0.0067,-82.347404,-127.20584,-0.55290532,93.372459,-0.4515225,-116.35697
0.0068,-86.836128,115.07957,-0.55231416,93.376839,-0.45176235,-116.36554
0.0069,-88.586792,46.751511,-0.55197728,93.513474,-0.45004845,-116.34563
0.007,-91.358315,-174.12692,-0.55403328,93.480774,-0.45039961,-116.35438
0.0071,-91.263481,-61.293312,-0.5531888,93.655479,-0.44946361,-116.35678
0.0072,-87.303375,-53.031029,-0.5531823,93.476997,-0.44958821,-116.35308
0.0073,-87.000359,141.16428,-0.55141616,93.431862,-0.44970533,-116.35671
0.0074,-90.841393,150.99725,-0.55225003,93.477524,-0.45176119,-116.35583
0.0075,-83.170654,173.78516,-0.55200255,93.408165,-0.45002577,-116.35095
0.0076,-92.018303,-82.201965,-0.55202109,93.392822,-0.45032609,-116.36673
0.0077,-83.657806,9.5456181,-0.55369067,93.400322,-0.44935539,-116.35638
0.0078,-80.426208,41.533405,-0.55467534,93.472626,-0.44926122,-116.35576
0.0079,-83.119225,-142.93552,-0.55229414,93.368675,-0.44999704,-116.36082
0.008,-84.552292,53.384689,-0.55194759,93.330444,-0.44945556,-116.36163
0.0081,-85.051796,-84.966415,-0.5525443,93.483025,-0.45011306,-116.36079
0.0082,-87.860756,-138.34726,-0.55285448,93.198639,-0.45014375,-116.35853
0.0083,-85.320183,84.222206,-0.55276537,93.422531,-0.45083034,-116.35656
0.0084,-86.033043,-0.67825949,-0.55280864,93.340981,-0.44929051,-116.3467
0.0085,-122.82653,-87.442909,-0.55253518,93.368256,-0.45031664,-116.34678
0.0086,-81.276955,-42.117523,-0.55227208,93.332191,-0.45001543,-116.35018
0.0087,-87.410896,27.945389,-0.55181503,93.47274,-0.45053458,-116.34871
0.0088,-79.940643,-90.933876,-0.55312026,93.485588,-0.45058683,-116.36134
0.0089,-99.164536,69.965096,-0.55188584,93.468216,-0.45014089,-116.35218
0.009,-87.888916,-51.976311,-0.55181032,93.531212,-0.45096618,-116.35092
0.0091,-82.161095,14.757298,-0.55080956,93.458084,-0.45135418,-116.36201
0.0092,-86.267403,-106.40321,-0.55397916,93.409607,-0.449184,-116.34807
0.0093,-97.433472,166.34203,-0.55303615,93.339462,-0.45070255,-116.34814
0.0094,-80.879326,-87.296082,-0.55314881,93.478081,-0.44983599,-116.36903
0.0095,-88.734299,147.4507,-0.55231708,93.507774,-0.45080191,-116.35387
0.0096,-79.459618,-52.960606,-0.55359572,93.469193,-0.44836938,-116.35754
0.0097,-87.316895,-14.350525,-0.55196142,93.517418,-0.45089412,-116.361
0.0098,-91.260826,-26.800863,-0.5527451,93.506111,-0.44904909,-116.36186
0.0099,-82.793419,-24.739985,-0.55439651,93.619392,-0.44859958,-116.35606
0.01,-79.588326,-129.27986,-0.55274749,93.397835,-0.44934735,-116.34698
0.0101,-83.887642,-29.735348,-0.55321878,93.35688,-0.45010528,-116.35405
0.0102,-86.418823,-39.85775,-0.55263311,93.454887,-0.44912657,-116.34818
0.0103,-78.836128,100.42324,-0.55334401,93.424789,-0.44958133,-116.34408
0.0104,-78.672501,-146.54181,-0.55197108,93.371941,-0.45090789,-116.35246
0.0105,-91.10276,-140.73067,-0.55332077,93.541847,-0.4494375,-116.34138
0.0106,-83.828857,-28.474207,-0.55293739,93.408974,-0.44873706,-116.35629
0.0107,-83.774597,5.0166497,-0.55150932,93.353828,-0.44994795,-116.3535
0.0108,-81.720322,176.08275,-0.55312496,93.437828,-0.44947338,-116.35421
0.0109,-94.527992,-5.5969133,-0.55370659,93.562653,-0.44837826,-116.35655
0.011,-86.425812,11.692261,-0.55233234,93.398079,-0.44871181,-116.36079
0.0111,-93.123619,-37.395916,-0.55309701,93.284912,-0.44948888,-116.35617
0.0112,-80.935585,-58.162701,-0.55279392,93.471512,-0.45009553,-116.35591
0.0113,-85.248283,-20.036093,-0.55270892,93.404274,-0.4498868,-116.35415
0.0114,-88.040237,-122.86237,-0.55377012,93.396477,-0.44952017,-116.35353
0.0115,-87.02504,-101.01592,-0.55216748,93.281952,-0.45002604,-116.35676
0.0116,-85.22245,76.262383,-0.55254817,93.536812,-0.45145041,-116.35718
0.0117,-81.489517,110.11557,-0.55261397,93.460541,-0.4496617,-116.36255
0.0118,-77.047546,21.80522,-0.55148405,93.37178,-0.45037407,-116.35662
0.0119,-79.498505,-99.385757,-0.55178946,93.427567,-0.45112672,-116.34861
0.012,-78.075996,156.08594,-0.553339,93.532578,-0.44775236,-116.36069
0.0121,-88.093193,84.575348,-0.55156225,93.448395,-0.45026004,-116.35545
0.0122,-80.411613,-129.3349,-0.55237824,93.583313,-0.44986326,-116.35652
0.0123,-80.777687,-47.303226,-0.55255932,93.437469,-0.45073098,-116.36307
0.0124,-84.645302,110.1603,-0.55266899,93.410294,-0.45140645,-116.35144
0.0125,-88.473709,139.35712,-0.55293506,93.401871,-0.45086941,-116.35448
0.0126,-94.690086,-139.99142,-0.55386949,93.50843,-0.44818771,-116.35502
0.0127,-84.879288,-27.587542,-0.55272985,93.449028,-0.45086482,-116.35265
0.0128,-80.071884,32.486443,-0.55087042,93.448029,-0.45190108,-116.34608
0.0129,-91.193008,-78.050911,-0.55243057,93.573944,-0.45027328,-116.35894
0.013,-104.42398,78.733925,-0.5536201,93.563217,-0.44858694,-116.36801
0.0131,-86.886955,-164.99068,-0.5516566,93.377998,-0.45052424,-116.35987
0.0132,-97.468414,91.762558,-0.55205899,93.418373,-0.45055926,-116.35023
0.0133,-87.767769,-48.802898,-0.55203897,93.389549,-0.45061469,-116.36326
0.0134,-83.436241,63.205368,-0.5534302,93.354195,-0.44953912,-116.35707
0.0135,-87.625862,86.523422,-0.55316234,93.502319,-0.44955891,-116.35487
0.0136,-81.168747,-92.901436,-0.55272716,93.487892,-0.45005044,-116.35831
0.0137,-83.477814,-112.54287,-0.55388451,93.417007,-0.44909298,-116.35432
0.0138,-80.316338,165.53017,-0.55207664,93.372864,-0.45019114,-116.34245
0.0139,-84.307755,-19.697689,-0.55208105,93.427299,-0.45055294,-116.3564
0.014,-80.588158,-40.955215,-0.55305678,93.309052,-0.44942945,-116.36057
0.0141,-83.325577,-164.19344,-0.5526737,93.42614,-0.44904047,-116.35277
0.0142,-91.896584,82.911339,-0.55103499,93.552689,-0.45034564,-116.34827
0.0143,-96.272522,23.917309,-0.55253053,93.521904,-0.44932696,-116.35702
