!CSV A.01.01
!Keysight Technologies,P9374A,MY57211795,A.19.30.04
!Date: Tuesday, October 14, 2025 13:50:03
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S21(DB),S21(DEG),S21_Mem(DB),S21_Mem(DEG),S12(DB),S12(DEG),S22(DB),S22(DEG)
300000,-56.434666,-108.64554,0.012417332,0.072801948,0.014403891,0.077750295,0.014797585,0.085168354,-51.161411,-148.91142
30298500,-54.302357,-121.19044,0.018819166,-0.025227228,0.021537991,0.080831006,0.01987835,-0.039826088,-48.386078,-136.13321
60297000,-50.496948,-128.87421,0.024971193,-0.098932251,0.029509956,0.10640745,0.026243987,-0.10722376,-45.434219,-123.68093
90295500,-50.024189,-135.91591,0.030275552,-0.18606241,0.034318272,0.11703649,0.031290825,-0.19787574,-43.915958,-117.73624
120294000,-50.36216,-145.77159,0.034635693,-0.27091292,0.038416248,0.12593529,0.036442701,-0.2830494,-43.070904,-112.79126
150292500,-53.19175,-163.51494,0.039114602,-0.36289349,0.042280678,0.1331742,0.041658722,-0.37285194,-42.784222,-110.36659
180291000,-59.607704,169.31203,0.043564297,-0.45679069,0.047844049,0.13559541,0.046301488,-0.46943495,-42.814457,-110.16464
210289500,-58.848671,77.00145,0.047608498,-0.5561499,0.051410016,0.13861389,0.049069203,-0.56463134,-43.136166,-110.99099
240288000,-53.003517,45.640484,0.05238609,-0.66075379,0.054490965,0.1369476,0.052986052,-0.6744765,-43.319645,-115.49348
270286500,-48.969963,28.990875,0.054915804,-0.76885653,0.057112958,0.12117557,0.056810971,-0.78003305,-43.056713,-122.47144
300285000,-47.246674,21.220924,0.05893413,-0.88107997,0.060393583,0.11425232,0.059732348,-0.89697063,-42.193466,-126.46047
330283500,-46.531498,10.96527,0.059266102,-1.0101992,0.061779559,0.084187359,0.062907413,-1.0257287,-41.172611,-130.28059
360282000,-46.502907,0.15324005,0.062842093,-1.1377183,0.064033441,0.05818785,0.065358587,-1.1544905,-39.927921,-131.78625
390280500,-47.097565,-5.4835815,0.066434525,-1.2645601,0.06645339,0.029084124,0.067065179,-1.2760025,-38.720657,-130.78262
420279000,-48.74828,-16.661591,0.067817554,-1.3900647,0.06858509,0.0012807527,0.071064137,-1.4117868,-37.770847,-129.09103
450277500,-51.969479,-23.424078,0.071148679,-1.5206152,0.070229284,-0.023289705,0.072592326,-1.5387162,-37.0854,-125.91846
480276000,-58.198166,-30.993002,0.073558562,-1.6509322,0.072452821,-0.050646808,0.075907074,-1.667689,-36.722889,-122.19447
510274500,-73.047729,98.415779,0.077088229,-1.7618946,0.07592997,-0.071070798,0.079800315,-1.7810818,-36.654545,-118.32591
540273000,-54.140003,117.99854,0.082868308,-1.8801255,0.080813222,-0.085812502,0.08485692,-1.8999513,-36.770687,-114.52196
570271500,-49.313976,109.61419,0.089418761,-1.9816407,0.085954435,-0.090912439,0.089190528,-2.0011578,-37.416435,-110.75771
600270000,-45.866505,101.25261,0.092989787,-2.0913041,0.090081073,-0.092351332,0.095467098,-2.1040857,-38.065624,-107.36432
630268500,-43.151852,94.073708,0.099117167,-2.1876132,0.095401764,-0.088729516,0.10087478,-2.2022085,-38.921986,-104.2231
660267000,-41.406631,86.545586,0.10338855,-2.2820249,0.099852882,-0.083134651,0.10566036,-2.3079579,-39.938084,-102.5794
690265500,-40.025898,79.817749,0.10832336,-2.3874619,0.10335317,-0.083615795,0.10888888,-2.4014835,-40.574764,-103.87275
720264000,-39.01128,73.342407,0.11149944,-2.4867268,0.10746028,-0.082580365,0.11400051,-2.5104198,-41.122093,-108.09602
750262500,-38.168095,66.786316,0.11459959,-2.5924833,0.1086339,-0.083373576,0.11719109,-2.6177847,-40.823227,-114.67173
780261000,-37.699986,61.50576,0.11555804,-2.7110162,0.11066829,-0.093990594,0.11812176,-2.7310557,-40.068779,-121.4262
810259500,-37.528282,56.65023,0.1167723,-2.8383334,0.11067132,-0.11921147,0.11971357,-2.8635259,-38.914818,-126.38457
840258000,-37.525188,53.965717,0.11838828,-2.9661837,0.11222348,-0.14844325,0.12129018,-2.9915597,-37.664288,-128.40012
