!CSV A.01.01
!Keysight Technologies,P9374A,MY57211795,A.19.30.04
!Date: Tuesday, October 14, 2025 14:14:13
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S21(DB),S21(DEG),S12(DB),S12(DEG),S22(DB),S22(DEG)
300000,-36.454975,-0.18122995,-78.543159,98.202026,-82.86322,65.787422,-48.646484,-0.42077053
30298500,-36.144859,-4.2817731,-40.876057,87.336479,-40.908024,87.712975,-47.363346,-9.2542238
60297000,-35.892605,-8.6679735,-34.960629,86.18261,-34.947758,85.943245,-46.36908,-18.437725
90295500,-35.561932,-13.251873,-31.460402,84.347862,-31.449755,84.260368,-45.201443,-23.987488
120294000,-35.251621,-17.920315,-28.970875,82.555717,-28.976257,82.575478,-44.156452,-27.917976
150292500,-34.960922,-21.398743,-27.0534,80.814209,-27.040287,80.798485,-43.390888,-30.984098
180291000,-34.614613,-24.782692,-25.465517,79.027023,-25.472919,79.056229,-42.906063,-32.270153
210289500,-34.365406,-28.342539,-24.145386,77.211632,-24.140572,77.263496,-42.498577,-35.394417
240288000,-34.144848,-31.389942,-22.996452,75.461639,-22.991999,75.483276,-42.353615,-37.994366
270286500,-33.904861,-34.594913,-21.979759,73.696793,-21.985176,73.673279,-42.182022,-43.13987
300285000,-33.730225,-37.42894,-21.079435,71.904701,-21.076551,71.879868,-41.898342,-47.720478
330283500,-33.565739,-40.492619,-20.265184,70.12175,-20.258224,70.086853,-41.455299,-52.294865
360282000,-33.391693,-43.148033,-19.517776,68.307686,-19.513834,68.284073,-40.771263,-55.960808
390280500,-33.279758,-45.497375,-18.837046,66.522514,-18.837791,66.476273,-40.10218,-59.482368
420279000,-33.175205,-47.460423,-18.205894,64.714928,-18.203835,64.705307,-39.394291,-59.499985
450277500,-33.202271,-49.384144,-17.622688,62.916023,-17.618937,62.885513,-38.875355,-59.106846
480276000,-33.257095,-51.204865,-17.072912,61.097054,-17.072495,61.108261,-38.504864,-57.226608
510274500,-33.420502,-53.047832,-16.558859,59.341599,-16.556734,59.317566,-38.401459,-53.718384
540273000,-33.708935,-54.706444,-16.075548,57.551846,-16.074675,57.521011,-38.526825,-50.54388
570271500,-34.135288,-57.115543,-15.619421,55.782578,-15.618555,55.769211,-39.126236,-46.939861
600270000,-34.650471,-60.279247,-15.186995,54.020813,-15.187449,54.021263,-40.064148,-42.792313
630268500,-35.342983,-64.234116,-14.779633,52.258003,-14.777976,52.250114,-41.537075,-39.473324
660267000,-36.013103,-69.958603,-14.391353,50.507236,-14.387292,50.495132,-43.893295,-37.204365
690265500,-36.670929,-76.902794,-14.021668,48.735504,-14.019568,48.733299,-47.27272,-40.304512
720264000,-37.120495,-85.409882,-13.66735,47.027599,-13.669549,46.973148,-53.279621,-61.515465
750262500,-37.349297,-94.362953,-13.333644,45.248241,-13.333732,45.230381,-53.161919,-127.1078
780261000,-37.327915,-103.72105,-13.014858,43.486023,-13.01419,43.475124,-47.587399,-152.11325
810259500,-37.109001,-111.84018,-12.711206,41.72419,-12.707984,41.697483,-43.96574,-155.74298
