!CSV A.01.01
!Keysight Technologies,P9374A,MY57211795,A.19.30.04
!Date: Tuesday, October 14, 2025 14:05:36
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S21(DB),S21(DEG),S12(DB),S12(DEG),S22(DB),S22(DEG)
300000,-9.5451117,-179.78659,-3.4854665,0.03208236,-3.4818945,0.042252164,-9.5410299,-179.78229
30298500,-9.331933,-175.23573,-3.522145,-8.9476986,-3.5029635,-8.9532986,-9.3370142,-175.32707
60297000,-8.7762814,-172.15475,-3.6263218,-17.793177,-3.5555427,-17.765678,-8.7902098,-172.27728
90295500,-8.0867977,-171.29066,-3.8021688,-26.61091,-3.6329353,-26.464453,-8.1037445,-171.47427
120294000,-7.4266644,-172.60295,-4.0523257,-35.412224,-3.7129316,-35.065231,-7.4612713,-172.86514
150292500,-6.9793682,-175.59433,-4.4161992,-44.248478,-3.7867525,-43.83604,-7.0343952,-175.80067
180291000,-6.7939148,-178.49666,-4.9197092,-52.546768,-3.9196599,-52.844269,-6.8456349,-178.53958
210289500,-6.6564202,178.89929,-5.4836383,-60.351524,-4.0850139,-61.494217,-6.6804318,178.92543
240288000,-6.6404967,176.08392,-6.1885004,-67.77562,-4.1907873,-70.240852,-6.6359901,176.04739
270286500,-6.7804589,173.98021,-7.05545,-73.849594,-4.3020267,-79.718834,-6.7512937,173.89406
300285000,-6.9507794,173.14526,-7.9369421,-78.014931,-4.5124269,-89.786858,-6.8958793,172.92783
330283500,-7.0459094,173.39607,-8.7558613,-80.520653,-4.8302894,-100.0628,-6.9828668,173.06429
360282000,-6.9600654,174.58527,-9.4087696,-80.87693,-5.263854,-110.62722,-6.8947721,174.14384
390280500,-6.574451,175.51698,-9.593812,-79.830887,-5.8864903,-121.23421,-6.5235744,174.97058
420279000,-6.0281029,174.69304,-9.2934046,-80.271889,-6.6876898,-131.20621,-6.002459,174.12863
450277500,-5.5445523,172.2525,-8.8635073,-83.334076,-7.6038284,-140.23648,-5.5494556,171.79225
480276000,-5.2015758,169.1218,-8.5295877,-88.156815,-8.5885429,-148.43484,-5.2289472,168.77629
510274500,-4.9740887,165.88695,-8.338913,-93.802025,-9.6370802,-155.89694,-5.0203443,165.67609
540273000,-4.8164525,162.87225,-8.2774906,-99.659378,-10.758498,-162.63895,-4.8737655,162.78784
570271500,-4.6872101,160.17767,-8.3078108,-105.41555,-11.980464,-168.48943,-4.7497482,160.22169
600270000,-4.5511432,157.82103,-8.3935909,-110.99056,-13.324237,-173.235,-4.6115656,157.98643
