!CSV A.01.01
!Keysight Technologies,P9374A,MY57211795,A.19.30.04
!Date: Tuesday, October 14, 2025 14:02:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S21(DB),S21(DEG),S12(DB),S12(DEG),S22(DB),S22(DEG)
300000,-57.299709,-97.337173,0.010364273,0.017912343,0.012377582,0.0336462,-52.426388,-149.01688
30298500,-42.103424,78.345604,0.0015916954,-5.3014083,0.0021687027,-5.3130746,-43.047161,92.3339
60297000,-36.241257,75.578697,-0.0030841136,-10.521375,-0.0018595282,-10.532995,-37.243874,80.008194
90295500,-32.577305,70.112,-0.0076244115,-15.732149,-0.0057250885,-15.745892,-33.580818,71.955399
120294000,-30.008427,64.984444,-0.012048496,-20.931538,-0.010841102,-20.94857,-30.936317,64.949051
150292500,-28.006207,58.985249,-0.017634589,-26.133394,-0.014771812,-26.144123,-28.871397,58.516029
180291000,-26.494862,53.097607,-0.022624664,-31.321814,-0.02017598,-31.330688,-27.200666,52.985905
210289500,-25.300291,47.459927,-0.027268803,-36.509422,-0.025147369,-36.512848,-25.892735,47.27269
240288000,-24.390636,42.348675,-0.031298891,-41.697834,-0.030159643,-41.712132,-24.823277,42.205452
270286500,-23.684038,37.182663,-0.036460802,-46.887016,-0.034136061,-46.899807,-23.979071,37.099491
300285000,-23.079906,32.855606,-0.039449196,-52.083038,-0.039102565,-52.102886,-23.335621,32.052288
330283500,-22.599848,28.711895,-0.044650096,-57.296806,-0.04239573,-57.307549,-22.745255,26.866043
360282000,-22.135418,24.92503,-0.049986854,-62.505959,-0.047533691,-62.520084,-22.245445,21.465828
390280500,-21.673386,21.082123,-0.054125108,-67.721123,-0.054134805,-67.737465,-21.800488,15.902246
420279000,-21.221029,17.519896,-0.058961295,-72.94413,-0.05675273,-72.958397,-21.337458,10.199562
450277500,-20.803955,13.787788,-0.063650779,-78.160118,-0.061522793,-78.181694,-20.910227,4.2663713
480276000,-20.446991,10.07656,-0.066689231,-83.374969,-0.065631852,-83.394943,-20.519024,-1.6571898
510274500,-20.185127,6.252243,-0.069505952,-88.582047,-0.067088276,-88.596191,-20.174292,-7.4680624
540273000,-20.038086,2.4443703,-0.070356958,-93.784355,-0.068157844,-93.805733,-19.908869,-13.12559
570271500,-20.049578,-1.3559282,-0.06632176,-98.984451,-0.067403227,-99.004501,-19.783098,-18.721451
600270000,-20.215219,-5.0007234,-0.064698741,-104.18761,-0.062654018,-104.205,-19.768343,-24.007166
630268500,-20.535435,-8.4972086,-0.059407659,-109.39321,-0.057834443,-109.41914,-19.898552,-29.13936
660267000,-21.014881,-11.783976,-0.055476736,-114.61337,-0.052545942,-114.63493,-20.169794,-34.40097
690265500,-21.615593,-14.752322,-0.048832219,-119.84407,-0.048341397,-119.87001,-20.549564,-39.652374
720264000,-22.299549,-17.532005,-0.04490013,-125.09364,-0.043440931,-125.11692,-20.992704,-45.270279
750262500,-23.061436,-19.868221,-0.042277578,-130.36801,-0.0386656,-130.38983,-21.475306,-51.409988
780261000,-23.818277,-21.742611,-0.039568573,-135.64978,-0.037588909,-135.67722,-21.957954,-58.375549
810259500,-24.50839,-23.243017,-0.040037245,-140.95686,-0.037377939,-140.98335,-22.399572,-65.829887
840258000,-25.145655,-24.650965,-0.039926734,-146.28323,-0.036621343,-146.31058,-22.772701,-73.920341
870256500,-25.753933,-25.426222,-0.039687436,-151.6188,-0.038194988,-151.64952,-23.168791,-82.578362
900255000,-26.375839,-26.106853,-0.040137567,-156.97765,-0.038494274,-157.00372,-23.568966,-91.411148
930253500,-27.027807,-25.723539,-0.039219327,-162.33824,-0.037546352,-162.36542,-24.078409,-100.5438
960252000,-27.758854,-24.431444,-0.036992837,-167.71878,-0.035675135,-167.74698,-24.739616,-109.89896
990250500,-28.596273,-21.692043,-0.035651386,-173.1064,-0.033341426,-173.12943,-25.669968,-119.73423
1020249000,-29.351067,-16.810211,-0.031442296,-178.49796,-0.030420054,-178.53595,-26.785704,-130.88345
1050247500,-30.014727,-10.544467,-0.02857249,176.09694,-0.026702534,176.06102,-28.098488,-144.04839
1080246000,-30.416111,-2.9886193,-0.025179133,170.67685,-0.023066785,170.64989,-29.48527,-159.75598
1110244500,-30.477724,3.9247901,-0.021397417,165.25905,-0.019945309,165.22549,-30.504259,-177.96738
1140243000,-30.282658,9.1944685,-0.019510526,159.82593,-0.017590923,159.786,-30.988153,161.85138
1170241500,-29.92004,12.727571,-0.018636929,154.37802,-0.016829712,154.33734,-30.765501,144.01915
1200240000,-29.52331,14.648343,-0.019126225,148.91156,-0.018404,148.87085,-30.234035,129.51553
1230238500,-29.091341,14.999265,-0.021122981,143.42256,-0.018841533,143.38795,-29.614346,117.47591
1260237000,-28.604124,14.541757,-0.02309203,137.92111,-0.022346767,137.8488,-29.033194,106.51639
1290235500,-28.047045,13.805304,-0.026529074,132.39351,-0.025189808,132.31575,-28.556141,96.02282
1320234000,-27.416775,12.741458,-0.03141205,126.82853,-0.030675787,126.76154,-28.104847,84.534737
1350232500,-26.768126,11.728016,-0.036184367,121.25394,-0.0341538,121.18383,-27.641254,72.228149
1380231000,-26.11237,10.618528,-0.041539732,115.65506,-0.038314335,115.57462,-27.077099,59.054382
1410229500,-25.553677,9.3584738,-0.044185374,110.04015,-0.042380046,109.95795,-26.374077,45.512394
1440228000,-25.071524,7.9521236,-0.048763111,104.41785,-0.04584574,104.33356,-25.64996,33.243576
1470226500,-24.718239,6.0786819,-0.050722472,98.770912,-0.047762692,98.702736,-24.882328,22.14835
1500225000,-24.479364,3.6512566,-0.05165153,93.122383,-0.049451653,93.047142,-24.213997,12.683478
1530223500,-24.365528,0.39313459,-0.052711539,87.460678,-0.051084172,87.384727,-23.655464,4.4832311
1560222000,-24.395956,-3.3424177,-0.053473298,81.769379,-0.050847922,81.695686,-23.254105,-2.465817
1590220500,-24.490017,-8.2754068,-0.053451024,76.054451,-0.050863899,75.982933,-22.94523,-8.8768578
1620219000,-24.653629,-13.947067,-0.05335537,70.323669,-0.050766207,70.241524,-22.695801,-14.808156
1650217500,-24.881626,-20.810732,-0.053681646,64.549461,-0.052532583,64.473541,-22.489407,-20.928267
1680216000,-25.10824,-28.434855,-0.055872656,58.748322,-0.053388916,58.669708,-22.290344,-27.151062
1710214500,-25.336094,-36.92802,-0.058882315,52.920033,-0.055815235,52.843994,-22.095249,-33.806728
1740213000,-25.542303,-45.970669,-0.06090505,47.047539,-0.058578737,46.972797,-21.906994,-40.680851
1770211500,-25.794617,-55.625294,-0.064181432,41.153355,-0.060424935,41.068253,-21.773682,-47.85392
1800210000,-26.126072,-65.277069,-0.06591516,35.217026,-0.062378537,35.133064,-21.733345,-54.851521
1830208500,-26.61915,-75.420982,-0.066615626,29.234169,-0.064853765,29.154642,-21.804527,-61.44062
1860207000,-27.25226,-86.419579,-0.066642962,23.225912,-0.065450519,23.144087,-22.058491,-67.399445
1890205500,-28.076155,-98.590454,-0.067487359,17.169521,-0.064221889,17.090792,-22.488548,-72.460396
1920204000,-29.017267,-112.45523,-0.066580407,11.072409,-0.065922782,10.988391,-23.13167,-76.494553
1950202500,-29.90387,-128.63518,-0.065782964,4.9360375,-0.065133348,4.8501577,-23.992723,-79.488358
1980201000,-30.568584,-147.18442,-0.066262618,-1.2508345,-0.064000949,-1.3389845,-25.03993,-81.065102
2010199500,-30.732891,-166.99974,-0.065279976,-7.4829121,-0.063735887,-7.5704384,-26.306694,-80.702751
2040198000,-30.335266,174.09471,-0.068323247,-13.761859,-0.065175392,-13.849113,-27.685921,-78.096367
2070196500,-29.625469,157.64153,-0.069230832,-20.102911,-0.066829599,-20.183081,-29.09144,-72.682693
2100195000,-28.765799,142.99957,-0.070885271,-26.496475,-0.068581223,-26.576572,-30.243294,-64.040413
2130193500,-27.884342,130.57066,-0.073443547,-32.939011,-0.071811549,-33.029602,-30.864985,-53.007046
2160192000,-27.10811,119.1227,-0.075992264,-39.462025,-0.074088089,-39.544003,-30.668606,-42.018406
2190190500,-26.378799,108.42285,-0.080775611,-46.038074,-0.077682227,-46.13102,-29.845156,-33.6147
2220189000,-25.737791,98.359093,-0.085836694,-52.694645,-0.082884558,-52.782192,-28.678486,-29.381729
2250187500,-25.213451,88.999626,-0.091294385,-59.422688,-0.089432642,-59.51881,-27.423628,-28.281424
2280186000,-24.815102,80.292686,-0.097687319,-66.222443,-0.096027404,-66.312347,-26.279415,-30.010981
2310184500,-24.590315,72.422218,-0.10545669,-73.103348,-0.10316206,-73.187851,-25.318487,-33.782856
2340183000,-24.578333,65.579109,-0.11169734,-80.074196,-0.10942357,-80.155861,-24.62155,-39.075439
2370181500,-24.796667,60.220051,-0.11846515,-87.120628,-0.11623596,-87.21566,-24.230408,-45.717354
2400180000,-25.359043,56.254868,-0.12301191,-94.290443,-0.12157122,-94.389603,-24.214817,-52.818504
2430178500,-26.378372,55.222656,-0.12826405,-101.57841,-0.12589286,-101.67275,-24.700901,-60.678719
2460177000,-27.909609,58.979202,-0.13210054,-109.00079,-0.1296435,-109.09252,-25.874243,-69.222496
2490175500,-29.643381,72.799248,-0.13421987,-116.57625,-0.13425085,-116.6687,-28.183607,-78.57016
2520174000,-29.943289,99.795486,-0.14111087,-124.32399,-0.13967112,-124.42426,-33.017578,-91.898811
2550172500,-27.287029,124.71819,-0.15200485,-132.27055,-0.14898035,-132.3671,-46.736656,-175.73828
2580171000,-23.628452,136.04581,-0.16640747,-140.44231,-0.16417235,-140.53378,-31.286106,93.574547
2610169500,-20.32159,138.83119,-0.1918785,-148.84183,-0.19067471,-148.94647,-24.451881,79.415794
2640168000,-17.479588,137.28404,-0.23489201,-157.53842,-0.23203862,-157.62486,-20.140295,68.741905
2670166500,-15.005715,133.3972,-0.29916629,-166.50182,-0.29720524,-166.59923,-16.893671,58.529434
2700165000,-12.837998,128.20351,-0.39655671,-175.77873,-0.39413705,-175.89108,-14.240381,48.080151
2730163500,-10.917442,121.89639,-0.53775728,174.61023,-0.53683424,174.50728,-12.016813,37.20903
2760162000,-9.2076006,114.86961,-0.73683482,164.6902,-0.73430479,164.59811,-10.093209,25.887718
2790160500,-7.6860785,107.22501,-1.0037736,154.50772,-1.0012804,154.40132,-8.4303398,14.129841
2820159000,-6.3433399,99.19577,-1.3526018,144.1344,-1.3519826,144.03458,-6.9731779,2.0520236
2850157500,-5.1737981,90.908661,-1.7922707,133.65347,-1.790128,133.55859,-5.7146559,-10.168796
2880156000,-4.1712027,82.519234,-2.3245585,123.21181,-2.320843,123.1165,-4.6380839,-22.31106
2910154500,-3.33358,74.147041,-2.9511724,112.90769,-2.9481387,112.80096,-3.7312269,-34.227989
2940153000,-2.6374414,65.923187,-3.6585016,102.84177,-3.6558669,102.74757,-2.980175,-45.780796
2970151500,-2.0726545,57.947277,-4.4384022,93.127327,-4.4365687,93.025887,-2.3673697,-56.877907
3000150000,-1.6213964,50.333015,-5.2780266,83.826721,-5.2767577,83.718979,-1.8789809,-67.478378
3030148500,-1.2675475,43.044392,-6.1632309,74.944778,-6.1638637,74.849205,-1.4923283,-77.567322
3060147000,-0.99136817,36.101593,-7.0831347,66.482796,-7.081605,66.381424,-1.190267,-87.175537
3090145500,-0.78184748,29.508528,-8.0277033,58.459869,-8.0276365,58.365833,-0.95670867,-96.318695
3120144000,-0.62152112,23.247873,-8.9906559,50.850864,-8.9884872,50.729996,-0.77301967,-105.06695
3150142500,-0.50084627,17.275082,-9.9618816,43.594692,-9.9587507,43.479595,-0.62712544,-113.40432
3180141000,-0.40663511,11.623035,-10.935273,36.701702,-10.935095,36.590862,-0.50893849,-121.36183
3210139500,-0.33845919,6.2561316,-11.910023,30.191397,-11.907421,30.066055,-0.41142595,-128.9429
3240138000,-0.28559026,1.168926,-12.877881,23.947969,-12.876561,23.84638,-0.32928956,-136.18546
