!CSV A.01.01
!Keysight Technologies,P9374A,MY57211795,A.19.30.04
!Date: Tuesday, October 14, 2025 14:29:46
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S11(DB),S11(DEG)
300000,-8.9128284,-84.817245,-8.9128284,-84.817245
30298500,-23.528135,-20.982491,-23.528135,-20.982491
60297000,-24.199715,-41.168369,-24.199715,-41.168369
90295500,-25.968405,-66.42746,-25.968405,-66.42746
120294000,-29.130949,-100.39754,-29.130949,-100.39754
150292500,-33.002216,-160.80818,-33.002216,-160.80818
180291000,-30.646416,122.95391,-30.646416,122.95391
210289500,-26.2817,79.550789,-26.2817,79.550789
240288000,-23.427402,49.237415,-23.427402,49.237415
270286500,-21.769518,22.84671,-21.769518,22.84671
300285000,-21.032433,-2.3271813,-21.032433,-2.3271813
330283500,-21.110851,-27.530018,-21.110851,-27.530018
360282000,-22.017303,-53.969204,-22.017303,-53.969204
390280500,-23.911043,-83.589005,-23.911043,-83.589005
420279000,-26.98971,-121.84424,-26.98971,-121.84424
450277500,-29.986576,177.59026,-29.986576,177.59026
480276000,-28.080141,108.88643,-28.080141,108.88643
510274500,-24.548845,64.706703,-24.548845,64.706703
540273000,-22.138058,32.658272,-22.138058,32.658272
570271500,-20.777573,4.6742883,-20.777573,4.6742883
600270000,-20.282431,-21.790167,-20.282431,-21.790167
630268500,-20.572104,-48.29715,-20.572104,-48.29715
660267000,-21.669983,-76.069931,-21.669983,-76.069931
690265500,-23.70665,-107.46232,-23.70665,-107.46232
720264000,-26.692423,-148.0685,-26.692423,-148.0685
750262500,-29.069984,151.92789,-29.069984,151.92789
780261000,-27.407463,89.2435,-27.407463,89.2435
810259500,-24.60619,46.196621,-24.60619,46.196621
840258000,-22.714993,13.554426,-22.714993,13.554426
870256500,-21.782946,-15.085127,-21.782946,-15.085127
900255000,-21.733702,-42.283894,-21.733702,-42.283894
930253500,-22.543518,-69.638649,-22.543518,-69.638649
960252000,-24.335436,-98.866402,-24.335436,-98.866402
990250500,-27.38003,-134.1136,-27.38003,-134.1136
