!CSV A.01.01
!Keysight Technologies,P9374A,MY57211795,A.19.30.04
!Date: Tuesday, October 14, 2025 14:31:17
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S11(DB),S11(DEG)
300000,-75.779274,-148.76855,-75.779274,-148.76855
30298500,-80.897079,143.47211,-80.897079,143.47211
60297000,-80.462204,162.89699,-80.462204,162.89699
90295500,-74.822327,172.38472,-74.822327,172.38472
120294000,-73.175499,-147.74757,-73.175499,-147.74757
150292500,-70.546219,-145.61566,-70.546219,-145.61566
180291000,-70.854385,-121.03104,-70.854385,-121.03104
210289500,-69.712067,-100.85205,-69.712067,-100.85205
240288000,-70.24826,-79.369438,-70.24826,-79.369438
270286500,-70.751366,-45.900841,-70.751366,-45.900841
300285000,-72.968239,-26.723333,-72.968239,-26.723333
330283500,-77.309753,-8.5470295,-77.309753,-8.5470295
360282000,-89.116074,31.36235,-89.116074,31.36235
390280500,-87.475006,165.68524,-87.475006,165.68524
420279000,-77.554199,171.42764,-77.554199,171.42764
450277500,-70.7929,-146.83708,-70.7929,-146.83708
480276000,-68.889938,-124.99815,-68.889938,-124.99815
510274500,-66.771576,-103.2984,-66.771576,-103.2984
540273000,-65.586578,-86.682976,-65.586578,-86.682976
570271500,-63.613903,-59.393002,-63.613903,-59.393002
600270000,-64.026085,-39.9426,-64.026085,-39.9426
630268500,-63.027309,-18.31222,-63.027309,-18.31222
660267000,-64.012001,-7.2089691,-64.012001,-7.2089691
690265500,-64.030655,16.015554,-64.030655,16.015554
720264000,-65.180016,35.386868,-65.180016,35.386868
750262500,-67.990631,75.037811,-67.990631,75.037811
780261000,-72.32756,76.190819,-72.32756,76.190819
810259500,-76.322708,121.33688,-76.322708,121.33688
840258000,-79.68837,-150.55527,-79.68837,-150.55527
870256500,-72.844788,-115.52507,-72.844788,-115.52507
900255000,-70.216881,-58.340717,-70.216881,-58.340717
930253500,-68.39222,-29.40666,-68.39222,-29.40666
960252000,-67.037109,-1.6176583,-67.037109,-1.6176583
990250500,-66.536552,20.53804,-66.536552,20.53804
1020249000,-64.935455,45.112835,-64.935455,45.112835
1050247500,-64.552086,74.788811,-64.552086,74.788811
1080246000,-63.986809,101.06931,-63.986809,101.06931
1110244500,-64.031311,136.0878,-64.031311,136.0878
1140243000,-63.338253,160.98,-63.338253,160.98
1170241500,-63.074078,-173.0959,-63.074078,-173.0959
1200240000,-62.418453,-146.09474,-62.418453,-146.09474
1230238500,-62.273216,-121.39481,-62.273216,-121.39481
1260237000,-62.089924,-98.73838,-62.089924,-98.73838
1290235500,-62.228603,-69.960609,-62.228603,-69.960609
1320234000,-62.072117,-52.95126,-62.072117,-52.95126
1350232500,-62.952557,-34.259533,-62.952557,-34.259533
1380231000,-64.581459,-14.436858,-64.581459,-14.436858
1410229500,-65.937218,0.85005474,-65.937218,0.85005474
1440228000,-67.96376,7.5416927,-67.96376,7.5416927
1470226500,-72.575882,18.833044,-72.575882,18.833044
1500225000,-72.360168,-5.5298266,-72.360168,-5.5298266
1530223500,-70.554344,-18.471394,-70.554344,-18.471394
1560222000,-67.446777,-28.341291,-67.446777,-28.341291
1590220500,-65.5616,-16.106026,-65.5616,-16.106026
1620219000,-62.84584,2.0922978,-62.84584,2.0922978
1650217500,-61.256016,11.749081,-61.256016,11.749081
1680216000,-59.878006,34.871151,-59.878006,34.871151
1710214500,-60.275558,53.042511,-60.275558,53.042511
1740213000,-59.253883,72.097794,-59.253883,72.097794
1770211500,-59.190109,92.796272,-59.190109,92.796272
1800210000,-58.683552,115.7282,-58.683552,115.7282
1830208500,-58.787041,137.15302,-58.787041,137.15302
1860207000,-58.913948,159.64618,-58.913948,159.64618
1890205500,-59.32478,-177.35333,-59.32478,-177.35333
1920204000,-59.32272,-161.91621,-59.32272,-161.91621
1950202500,-60.186039,-140.79181,-60.186039,-140.79181
1980201000,-61.498997,-122.86524,-61.498997,-122.86524
2010199500,-62.679001,-108.42172,-62.679001,-108.42172
2040198000,-64.293991,-96.877113,-64.293991,-96.877113
2070196500,-65.824692,-91.960838,-65.824692,-91.960838
2100195000,-66.899261,-95.854568,-66.899261,-95.854568
2130193500,-66.031944,-107.03048,-66.031944,-107.03048
2160192000,-64.602455,-108.44384,-64.602455,-108.44384
2190190500,-62.011589,-97.603477,-62.011589,-97.603477
2220189000,-60.835609,-83.721886,-60.835609,-83.721886
2250187500,-59.127827,-70.692879,-59.127827,-70.692879
2280186000,-58.198326,-54.812218,-58.198326,-54.812218
2310184500,-57.22657,-36.95903,-57.22657,-36.95903
2340183000,-57.203915,-22.150953,-57.203915,-22.150953
2370181500,-56.220474,-8.3402758,-56.220474,-8.3402758
2400180000,-56.487221,11.077049,-56.487221,11.077049
2430178500,-56.701622,28.661377,-56.701622,28.661377
2460177000,-57.156105,46.461327,-57.156105,46.461327
2490175500,-58.385963,61.333591,-58.385963,61.333591
2520174000,-58.985542,76.498253,-58.985542,76.498253
2550172500,-60.287937,91.852905,-60.287937,91.852905
2580171000,-61.392879,112.38723,-61.392879,112.38723
2610169500,-63.91679,116.64193,-63.91679,116.64193
2640168000,-64.749535,124.9369,-64.749535,124.9369
2670166500,-65.931923,130.68372,-65.931923,130.68372
2700165000,-66.214661,127.70645,-66.214661,127.70645
2730163500,-66.059128,135.95753,-66.059128,135.95753
2760162000,-64.258919,142.97177,-64.258919,142.97177
2790160500,-61.593204,153.0042,-61.593204,153.0042
2820159000,-61.286724,168.36795,-61.286724,168.36795
2850157500,-59.701454,-169.28453,-59.701454,-169.28453
2880156000,-59.025589,-151.96954,-59.025589,-151.96954
2910154500,-57.851856,-132.92273,-57.851856,-132.92273
2940153000,-57.138336,-112.75611,-57.138336,-112.75611
2970151500,-57.081356,-87.317238,-57.081356,-87.317238
3000150000,-57.17561,-66.23513,-57.17561,-66.23513
3030148500,-56.471687,-44.88102,-56.471687,-44.88102
3060147000,-57.277603,-30.176065,-57.277603,-30.176065
3090145500,-57.207245,-7.3847723,-57.207245,-7.3847723
3120144000,-57.452755,11.17657,-57.452755,11.17657
3150142500,-58.226105,28.659542,-58.226105,28.659542
3180141000,-58.154385,41.098053,-58.154385,41.098053
3210139500,-59.472279,59.960461,-59.472279,59.960461
3240138000,-61.271053,68.393112,-61.271053,68.393112
3270136500,-61.896988,76.60318,-61.896988,76.60318
3300135000,-62.704811,79.415909,-62.704811,79.415909
3330133500,-61.874184,82.637306,-61.874184,82.637306
3360132000,-61.303097,80.578003,-61.303097,80.578003
3390130500,-59.57024,94.538132,-59.57024,94.538132
3420129000,-57.902866,106.95715,-57.902866,106.95715
3450127500,-57.356575,122.97144,-57.356575,122.97144
3480126000,-55.490257,138.05,-55.490257,138.05
3510124500,-55.178947,151.8185,-55.178947,151.8185
